file,vp_class,vp_distance,vp_target,closest_file,true_class,true_target
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/1&1 Ionos/T0_0.png,0,3.269634962081909,benign,,0,1&1 Ionos
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/1&1 Ionos/T0_1.png,0,3.3331046104431152,benign,,0,1&1 Ionos
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/1&1 Ionos/T0_2.png,0,3.6586108207702637,benign,,0,1&1 Ionos
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/1&1 Ionos/T0_3.png,1,1.7884299755096436,1&1 Ionos,[0.]/T0_13.png,0,1&1 Ionos
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/1&1 Ionos/T0_4.png,1,0.8116217851638794,1&1 Ionos,[0.]/T0_7.png,0,1&1 Ionos
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/ADP/T1_0.png,0,6.507752418518066,benign,,0,ADP
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/ADP/T1_1.png,1,2.515738010406494,ADP,[1.]/T1_1.png,0,ADP
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/ADP/T1_2.png,0,6.971940994262695,benign,,0,ADP
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/ADP/T1_3.png,1,0.9393847584724426,ADP,[1.]/T1_1.png,0,ADP
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/ADP/T1_4.png,1,0.0012687447015196085,ADP,[1.]/T1_5.png,0,ADP
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/AOL/T2_1.png,1,0.004130067303776741,AOL,[2.]/T2_1.png,0,AOL
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/AOL/T2_2.png,1,1.8711810111999512,AOL,[2.]/T2_2.png,0,AOL
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/AOL/T2_3.png,0,4.715330123901367,benign,,0,AOL
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/AOL/T2_4.png,1,0.0017499900422990322,AOL,[2.]/T2_5.png,0,AOL
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/AOL/shot_0.png,1,0.028240127488970757,AOL,[2.]/T2_5.png,0,AOL
/home/phish-target-recognition/data_splits/phishpedia/visualphish/data/test/trusted_list/ASB Bank Limited/T3_0.png,1,0.00023360839986708015,ASB Bank Limited,[3.]/T3_7.png,0,ASB Bank Limited
