file,vp_class,vp_distance,vp_target,closest_file,true_class,true_target
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_0.png,1,7.107852935791016,steam,steam/shot_1.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_1.png,0,8.845279693603516,benign,meta/shot_0_aug11.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_10.png,1,7.290288925170898,mbank,mbank/shot_2.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_100.png,0,9.233107566833496,benign,mbank/shot_0.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_1000.png,0,11.494909286499023,benign,olx/shot_2.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_1001.png,0,9.072593688964844,benign,home.pl/shot_0_aug11.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_1002.png,1,4.110276699066162,meta,meta/shot_0_aug13.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_1003.png,0,8.799785614013672,benign,home.pl/shot_0_aug11.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_1004.png,0,8.538456916809082,benign,home.pl/shot_0_aug11.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_1005.png,0,8.996941566467285,benign,booking/shot_0.png,0,benign
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/visualphish/data/test/trusted_list/benign/shot_1006.png,1,3.7581162452697754,meta,meta/shot_0_aug13.png,0,benign
