threshold,class_metrics,target_metrics
0,"{'f1_weighted': 0.5163756370483399, 'roc_auc': np.float64(0.5), 'mcc': 0.0, 'precision': 0.32667910447761195, 'recall': 0.5}","{'target_f1_micro': 0.6533582089552239, 'target_f1_macro': 0.005645291291872199, 'target_f1_weighted': 0.5163756370483399, 'target_mcc': 0.0, 'precision': 0.004666844349680171, 'recall': 0.007142857142857143, 'identification_rate': 0}"
10,"{'f1_weighted': 0.7245892174875521, 'roc_auc': np.float64(0.6822870400367866), 'mcc': np.float64(0.3856984343165915), 'precision': 0.7040233938247182, 'recall': 0.6822870400367866}","{'target_f1_micro': 0.5600746268656717, 'target_f1_macro': 0.02749545738673511, 'target_f1_weighted': 0.5344112209383282, 'target_mcc': np.float64(0.1704880737294967), 'precision': 0.029397186147186144, 'recall': 0.0277566394856803, 'identification_rate': np.float64(0.045548654244306416)}"
13,"{'f1_weighted': 0.7215790065167557, 'roc_auc': np.float64(0.6835294486496721), 'mcc': np.float64(0.3794628200304882), 'precision': 0.6961429525955096, 'recall': 0.6835294486496721}","{'target_f1_micro': 0.5444029850746268, 'target_f1_macro': 0.029910064015544333, 'target_f1_weighted': 0.5273887006250172, 'target_mcc': np.float64(0.1637960900351942), 'precision': 0.03391486153597955, 'recall': 0.03169199972095212, 'identification_rate': np.float64(0.037549407114624504)}"
14,"{'f1_weighted': 0.7215790065167557, 'roc_auc': np.float64(0.6835294486496721), 'mcc': np.float64(0.3794628200304882), 'precision': 0.6961429525955096, 'recall': 0.6835294486496721}","{'target_f1_micro': 0.5466417910447762, 'target_f1_macro': 0.03556435744681698, 'target_f1_weighted': 0.5296269647797536, 'target_mcc': np.float64(0.1679214514611547), 'precision': 0.037017080745341616, 'recall': 0.03707896610170732, 'identification_rate': np.float64(0.04940711462450593)}"
15,"{'f1_weighted': 0.7221572894003472, 'roc_auc': np.float64(0.6857705177235337), 'mcc': np.float64(0.3814089632342617), 'precision': 0.6957694889077194, 'recall': 0.6857705177235336}","{'target_f1_micro': 0.5436567164179105, 'target_f1_macro': 0.02855963423471111, 'target_f1_weighted': 0.5294701630084122, 'target_mcc': np.float64(0.1700080334420333), 'precision': 0.026909931389814935, 'recall': 0.031959288499415525, 'identification_rate': np.float64(0.05426356589147287)}"
16,"{'f1_weighted': 0.7221572894003472, 'roc_auc': np.float64(0.6857705177235337), 'mcc': np.float64(0.3814089632342617), 'precision': 0.6957694889077194, 'recall': 0.6857705177235336}","{'target_f1_micro': 0.5406716417910448, 'target_f1_macro': 0.023050425360498818, 'target_f1_weighted': 0.5268610164320086, 'target_mcc': np.float64(0.16456409561989804), 'precision': 0.022714747918315674, 'recall': 0.024995923443248132, 'identification_rate': np.float64(0.03875968992248062)}"
17,"{'f1_weighted': 0.7241953706519448, 'roc_auc': np.float64(0.6896591152894948), 'mcc': np.float64(0.3868148079161269), 'precision': 0.6972297711538966, 'recall': 0.6896591152894948}","{'target_f1_micro': 0.5376865671641791, 'target_f1_macro': 0.02561435679012028, 'target_f1_weighted': 0.5273950261289005, 'target_mcc': np.float64(0.16669936305618954), 'precision': 0.025507961878512914, 'recall': 0.027213587764435374, 'identification_rate': np.float64(0.03977272727272727)}"
18,"{'f1_weighted': 0.7241953706519448, 'roc_auc': np.float64(0.6896591152894948), 'mcc': np.float64(0.3868148079161269), 'precision': 0.6972297711538966, 'recall': 0.6896591152894948}","{'target_f1_micro': 0.5376865671641791, 'target_f1_macro': 0.027934190885876033, 'target_f1_weighted': 0.5275686931609269, 'target_mcc': np.float64(0.16669936305618954), 'precision': 0.030665136789944793, 'recall': 0.028273732507444565, 'identification_rate': np.float64(0.03977272727272727)}"
19,"{'f1_weighted': 0.7217504431169677, 'roc_auc': np.float64(0.6888577893979082), 'mcc': np.float64(0.3825486655537183), 'precision': 0.6937217972097998, 'recall': 0.6888577893979082}","{'target_f1_micro': 0.5294776119402985, 'target_f1_macro': 0.021196882760108924, 'target_f1_weighted': 0.522419905103705, 'target_mcc': np.float64(0.1602259997110119), 'precision': 0.02156014174691987, 'recall': 0.022695301895013863, 'identification_rate': np.float64(0.028037383177570093)}"
20,"{'f1_weighted': 0.7217504431169677, 'roc_auc': np.float64(0.6888577893979082), 'mcc': np.float64(0.3825486655537183), 'precision': 0.6937217972097998, 'recall': 0.6888577893979082}","{'target_f1_micro': 0.5332089552238806, 'target_f1_macro': 0.030613482585713215, 'target_f1_weighted': 0.5253431422095846, 'target_mcc': np.float64(0.16689210253320924), 'precision': 0.02940834513083754, 'recall': 0.03466338557117208, 'identification_rate': np.float64(0.04672897196261682)}"
21,"{'f1_weighted': 0.7198940128859657, 'roc_auc': np.float64(0.6876498067535143), 'mcc': np.float64(0.3790206418977586), 'precision': 0.6913892818089706, 'recall': 0.6876498067535144}","{'target_f1_micro': 0.5305970149253731, 'target_f1_macro': 0.03183094654003809, 'target_f1_weighted': 0.5244211479042461, 'target_mcc': np.float64(0.16581786928762282), 'precision': 0.030596325543051313, 'recall': 0.03495657285708712, 'identification_rate': np.float64(0.048417132216014895)}"
22,"{'f1_weighted': 0.7198940128859657, 'roc_auc': np.float64(0.6876498067535143), 'mcc': np.float64(0.3790206418977586), 'precision': 0.6913892818089706, 'recall': 0.6876498067535144}","{'target_f1_micro': 0.5283582089552239, 'target_f1_macro': 0.023357297793696014, 'target_f1_weighted': 0.5226610507912871, 'target_mcc': np.float64(0.16183620204880508), 'precision': 0.027266084355667273, 'recall': 0.025107966747976804, 'identification_rate': np.float64(0.037243947858473)}"
