threshold,class_metrics,target_metrics
0,"{'f1_weighted': 0.01692545009384415, 'roc_auc': np.float64(0.5), 'mcc': 0.0, 'precision': 0.04816084788029925, 'recall': 0.5}","{'target_f1_micro': 0.0963216957605985, 'target_f1_macro': 0.0030827709022342607, 'target_f1_weighted': 0.01692545009384415, 'target_mcc': 0.0, 'precision': 0.0016898543115894474, 'recall': 0.017543859649122806, 'identification_rate': 0}"
1,"{'f1_weighted': 0.81452526798427, 'roc_auc': np.float64(0.6525400456133182), 'mcc': np.float64(0.217477195127257), 'precision': 0.5775146129828638, 'recall': 0.6525400456133184}","{'target_f1_micro': 0.15648379052369077, 'target_f1_macro': 0.025677720135641322, 'target_f1_weighted': 0.1532418202320229, 'target_mcc': np.float64(0.05855400705460165), 'precision': 0.03350809119631302, 'recall': 0.027224100275631463, 'identification_rate': np.float64(0.14863713798977854)}"
2,"{'f1_weighted': 0.81452526798427, 'roc_auc': np.float64(0.6525400456133182), 'mcc': np.float64(0.217477195127257), 'precision': 0.5775146129828638, 'recall': 0.6525400456133184}","{'target_f1_micro': 0.16490024937655862, 'target_f1_macro': 0.02584966674283865, 'target_f1_weighted': 0.16351384198389243, 'target_mcc': np.float64(0.0681879348968208), 'precision': 0.03538258592625093, 'recall': 0.026623571381817566, 'identification_rate': np.float64(0.16013628620102216)}"
3,"{'f1_weighted': 0.8193864140276041, 'roc_auc': np.float64(0.5912551030318456), 'mcc': np.float64(0.14175294864647991), 'precision': 0.555048698051876, 'recall': 0.5912551030318456}","{'target_f1_micro': 0.1546134663341646, 'target_f1_macro': 0.02550659591618268, 'target_f1_weighted': 0.15834227993226294, 'target_mcc': np.float64(0.05634284925287829), 'precision': 0.03211812570841391, 'recall': 0.026978508938411465, 'identification_rate': np.float64(0.16004911993450677)}"
4,"{'f1_weighted': 0.8193864140276041, 'roc_auc': np.float64(0.5912551030318456), 'mcc': np.float64(0.14175294864647991), 'precision': 0.555048698051876, 'recall': 0.5912551030318456}","{'target_f1_micro': 0.15149625935162095, 'target_f1_macro': 0.02899184154778033, 'target_f1_weighted': 0.15702081083391356, 'target_mcc': np.float64(0.052797410998113053), 'precision': 0.037670830918559814, 'recall': 0.02904362036690949, 'identification_rate': np.float64(0.15595579205894392)}"
5,"{'f1_weighted': 0.826475192998015, 'roc_auc': np.float64(0.5851431863012689), 'mcc': np.float64(0.1381705907703066), 'precision': 0.5560559011917405, 'recall': 0.5851431863012689}","{'target_f1_micro': 0.1527431421446384, 'target_f1_macro': 0.024731147990538944, 'target_f1_weighted': 0.1591072264337473, 'target_mcc': np.float64(0.05349776389467858), 'precision': 0.029691671794270125, 'recall': 0.0251315965547511, 'identification_rate': np.float64(0.1581059390048154)}"
6,"{'f1_weighted': 0.826475192998015, 'roc_auc': np.float64(0.5851431863012689), 'mcc': np.float64(0.1381705907703066), 'precision': 0.5560559011917405, 'recall': 0.5851431863012689}","{'target_f1_micro': 0.14962593516209477, 'target_f1_macro': 0.02627557946067771, 'target_f1_weighted': 0.1540541903656921, 'target_mcc': np.float64(0.04995737981015435), 'precision': 0.028225556230625178, 'recall': 0.029248206263293882, 'identification_rate': np.float64(0.15409309791332262)}"
7,"{'f1_weighted': 0.8294452427929768, 'roc_auc': np.float64(0.581019456547342), 'mcc': np.float64(0.13460340561069453), 'precision': 0.5559065611338995, 'recall': 0.581019456547342}","{'target_f1_micro': 0.1518079800498753, 'target_f1_macro': 0.025236357860920173, 'target_f1_weighted': 0.1589889969223652, 'target_mcc': np.float64(0.05228371348199932), 'precision': 0.029774542420989605, 'recall': 0.026247677518392958, 'identification_rate': np.float64(0.15745526838966203)}"
8,"{'f1_weighted': 0.8294452427929768, 'roc_auc': np.float64(0.581019456547342), 'mcc': np.float64(0.13460340561069453), 'precision': 0.5559065611338995, 'recall': 0.581019456547342}","{'target_f1_micro': 0.15056109725685785, 'target_f1_macro': 0.024483800390877403, 'target_f1_weighted': 0.1566577689569187, 'target_mcc': np.float64(0.05086852683136173), 'precision': 0.028133605866977923, 'recall': 0.02637432489845302, 'identification_rate': np.float64(0.1558648111332008)}"
9,"{'f1_weighted': 0.8313256104079523, 'roc_auc': np.float64(0.5760333604601966), 'mcc': np.float64(0.12895218476129755), 'precision': 0.554675559037723, 'recall': 0.5760333604601966}","{'target_f1_micro': 0.15336658354114713, 'target_f1_macro': 0.02240195252997455, 'target_f1_weighted': 0.16026064357581993, 'target_mcc': np.float64(0.054273359427960605), 'precision': 0.023698152170326094, 'recall': 0.025346206207015817, 'identification_rate': np.float64(0.16028424792735887)}"
10,"{'f1_weighted': 0.8313256104079523, 'roc_auc': np.float64(0.5760333604601966), 'mcc': np.float64(0.12895218476129755), 'precision': 0.554675559037723, 'recall': 0.5760333604601966}","{'target_f1_micro': 0.14713216957605985, 'target_f1_macro': 0.026303530733663174, 'target_f1_weighted': 0.1547114069848464, 'target_mcc': np.float64(0.047202299654178326), 'precision': 0.03280313879755694, 'recall': 0.026898385896473483, 'identification_rate': np.float64(0.15238847216739046)}"
11,"{'f1_weighted': 0.8350563259584313, 'roc_auc': np.float64(0.5778647028157238), 'mcc': np.float64(0.13472475375313686), 'precision': 0.5582765958691172, 'recall': 0.5778647028157238}","{'target_f1_micro': 0.14557356608478803, 'target_f1_macro': 0.02316899386697806, 'target_f1_weighted': 0.15277056277042275, 'target_mcc': np.float64(0.04534122007508388), 'precision': 0.02642154711379084, 'recall': 0.02453284234993107, 'identification_rate': np.float64(0.14962788875832353)}"
12,"{'f1_weighted': 0.8350563259584313, 'roc_auc': np.float64(0.5778647028157238), 'mcc': np.float64(0.13472475375313686), 'precision': 0.5582765958691172, 'recall': 0.5778647028157238}","{'target_f1_micro': 0.14245635910224438, 'target_f1_macro': 0.024998483354129047, 'target_f1_weighted': 0.150144595780038, 'target_mcc': np.float64(0.04180697620178123), 'precision': 0.0323245773206253, 'recall': 0.024518764077445063, 'identification_rate': np.float64(0.14571092831962398)}"
13,"{'f1_weighted': 0.8372034763211125, 'roc_auc': np.float64(0.5757699061499837), 'mcc': np.float64(0.13363274848340045), 'precision': 0.55892085781352, 'recall': 0.5757699061499837}","{'target_f1_micro': 0.14619700748129677, 'target_f1_macro': 0.02577632363188057, 'target_f1_weighted': 0.15390908192111652, 'target_mcc': np.float64(0.04606733523379754), 'precision': 0.029409759519387818, 'recall': 0.02800370179098794, 'identification_rate': np.float64(0.15064227325807708)}"
14,"{'f1_weighted': 0.8372034763211125, 'roc_auc': np.float64(0.5757699061499837), 'mcc': np.float64(0.13363274848340045), 'precision': 0.55892085781352, 'recall': 0.5757699061499837}","{'target_f1_micro': 0.1477556109725686, 'target_f1_macro': 0.02221938668086937, 'target_f1_weighted': 0.1564167736745024, 'target_mcc': np.float64(0.04783371740921686), 'precision': 0.02552128867640899, 'recall': 0.022418291734396814, 'identification_rate': np.float64(0.15258855585831063)}"
15,"{'f1_weighted': 0.8373281409277766, 'roc_auc': np.float64(0.5694040239296889), 'mcc': np.float64(0.12436332294482841), 'precision': 0.5557108767553163, 'recall': 0.5694040239296889}","{'target_f1_micro': 0.14713216957605985, 'target_f1_macro': 0.022558114680702374, 'target_f1_weighted': 0.1562864130773603, 'target_mcc': np.float64(0.04715274861502541), 'precision': 0.027418768640533945, 'recall': 0.022789105198534998, 'identification_rate': np.float64(0.15316013958898797)}"
16,"{'f1_weighted': 0.8373281409277766, 'roc_auc': np.float64(0.5694040239296889), 'mcc': np.float64(0.12436332294482841), 'precision': 0.5557108767553163, 'recall': 0.5694040239296889}","{'target_f1_micro': 0.14619700748129677, 'target_f1_macro': 0.02183219375957195, 'target_f1_weighted': 0.15466709878582777, 'target_mcc': np.float64(0.04609319071577256), 'precision': 0.026384596883324674, 'recall': 0.022529194370436614, 'identification_rate': np.float64(0.15199689802248934)}"
17,"{'f1_weighted': 0.8399734617094633, 'roc_auc': np.float64(0.5716461763960567), 'mcc': np.float64(0.13023520640204853), 'precision': 0.559183929414542, 'recall': 0.5716461763960566}","{'target_f1_micro': 0.1477556109725686, 'target_f1_macro': 0.026657529039855146, 'target_f1_weighted': 0.1558659856261844, 'target_mcc': np.float64(0.04783112627134434), 'precision': 0.031350031001060964, 'recall': 0.02827384598011269, 'identification_rate': np.float64(0.15316358024691357)}"
18,"{'f1_weighted': 0.8399734617094633, 'roc_auc': np.float64(0.5716461763960567), 'mcc': np.float64(0.13023520640204853), 'precision': 0.559183929414542, 'recall': 0.5716461763960566}","{'target_f1_micro': 0.14432668329177056, 'target_f1_macro': 0.023476060888121285, 'target_f1_weighted': 0.15247499981689575, 'target_mcc': np.float64(0.04394695030070996), 'precision': 0.028126549918117638, 'recall': 0.02398684154552199, 'identification_rate': np.float64(0.14891975308641975)}"
