Timestamp | Target | Class | Original File | Augmented File | Parameters
--------------------------------------------------------------------------------
2025-08-30 17:37:11 | Frontier Communications | phishing | T17_4.png | T17_4_aug1.png | blur kernel=7
2025-08-30 17:37:11 | Frontier Communications | phishing | T17_7.png | T17_7_aug2.png | brightness factor=0.68
2025-08-30 17:37:11 | Frontier Communications | phishing | T17_4.png | T17_4_aug3.png | blur kernel=11
2025-08-30 17:37:12 | Frontier Communications | phishing | T17_6.png | T17_6_aug4.png | blur kernel=3
2025-08-30 17:37:12 | Frontier Communications | phishing | T17_14.png | T17_14_aug5.png | brightness factor=0.80
2025-08-30 17:37:12 | Frontier Communications | phishing | T17_9.png | T17_9_aug6.png | brightness factor=1.43
2025-08-30 17:37:12 | Twitter, Inc | phishing | T43_4.png | T43_4_aug1.png | brightness factor=1.08
2025-08-30 17:37:12 | Twitter, Inc | phishing | T43_5.png | T43_5_aug2.png | blur kernel=5
2025-08-30 17:37:13 | Twitter, Inc | phishing | T43_4.png | T43_4_aug3.png | shift translate=0.08
2025-08-30 17:37:13 | Twitter, Inc | phishing | T43_7.png | T43_7_aug4.png | shift translate=0.06
2025-08-30 17:37:13 | Twitter, Inc | phishing | T43_4.png | T43_4_aug5.png | blur kernel=7
2025-08-30 17:37:13 | Twitter, Inc | phishing | T43_6.png | T43_6_aug6.png | shift translate=0.13
2025-08-30 17:37:13 | Twitter, Inc | phishing | T43_1.png | T43_1_aug7.png | blur kernel=9
2025-08-30 17:37:14 | Twitter, Inc | phishing | T43_0.png | T43_0_aug8.png | shift translate=0.13
2025-08-30 17:37:14 | Twitter, Inc | phishing | T43_6.png | T43_6_aug9.png | brightness factor=1.42
2025-08-30 17:37:14 | Twitter, Inc | phishing | T43_3.png | T43_3_aug10.png | brightness factor=1.50
2025-08-30 17:37:14 | Twitter, Inc | phishing | T43_0.png | T43_0_aug11.png | brightness factor=1.63
2025-08-30 17:37:15 | Twitter, Inc | phishing | T43_4.png | T43_4_aug12.png | shift translate=0.10
2025-08-30 17:37:15 | Twitter, Inc | phishing | T43_6.png | T43_6_aug13.png | brightness factor=0.98
2025-08-30 17:37:15 | Twitter, Inc | phishing | T43_7.png | T43_7_aug14.png | shift translate=0.12
2025-08-30 17:37:15 | Twitter, Inc | phishing | T43_0.png | T43_0_aug15.png | brightness factor=1.19
2025-08-30 17:37:15 | Twitter, Inc | phishing | T43_7.png | T43_7_aug16.png | brightness factor=1.10
2025-08-30 17:37:15 | Twitter, Inc | phishing | T43_5.png | T43_5_aug17.png | brightness factor=1.39
2025-08-30 17:37:16 | capital_one | phishing | T51_2.png | T51_2_aug1.png | brightness factor=1.57
2025-08-30 17:37:17 | capital_one | phishing | T51_1.png | T51_1_aug2.png | noise std=0.021
2025-08-30 17:37:17 | capital_one | phishing | T51_3.png | T51_3_aug3.png | shift translate=0.07
2025-08-30 17:37:18 | capital_one | phishing | T51_0.png | T51_0_aug4.png | noise std=0.045
2025-08-30 17:37:18 | capital_one | phishing | T51_0.png | T51_0_aug5.png | brightness factor=0.84
2025-08-30 17:37:18 | capital_one | phishing | T51_3.png | T51_3_aug6.png | shift translate=0.12
2025-08-30 17:37:19 | capital_one | phishing | T51_0.png | T51_0_aug7.png | noise std=0.024
2025-08-30 17:37:20 | capital_one | phishing | T51_3.png | T51_3_aug8.png | noise std=0.014
2025-08-30 17:37:20 | capital_one | phishing | T51_2.png | T51_2_aug9.png | blur kernel=5
2025-08-30 17:37:21 | capital_one | phishing | T51_3.png | T51_3_aug10.png | noise std=0.034
2025-08-30 17:37:22 | capital_one | phishing | T51_0.png | T51_0_aug11.png | noise std=0.034
2025-08-30 17:37:22 | capital_one | phishing | T51_0.png | T51_0_aug12.png | shift translate=0.15
2025-08-30 17:37:22 | capital_one | phishing | T51_2.png | T51_2_aug13.png | blur kernel=11
2025-08-30 17:37:23 | capital_one | phishing | T51_1.png | T51_1_aug14.png | shift translate=0.06
2025-08-30 17:37:23 | capital_one | phishing | T51_0.png | T51_0_aug15.png | brightness factor=1.09
2025-08-30 17:37:23 | capital_one | phishing | T51_1.png | T51_1_aug16.png | brightness factor=1.16
2025-08-30 17:37:23 | capital_one | phishing | T51_2.png | T51_2_aug17.png | shift translate=0.13
2025-08-30 17:37:23 | capital_one | phishing | T51_3.png | T51_3_aug18.png | brightness factor=0.99
2025-08-30 17:37:24 | capital_one | phishing | T51_3.png | T51_3_aug19.png | blur kernel=11
2025-08-30 17:37:25 | capital_one | phishing | T51_1.png | T51_1_aug20.png | noise std=0.011
2025-08-30 17:37:25 | capital_one | phishing | T51_1.png | T51_1_aug21.png | shift translate=0.07
2025-08-30 17:37:25 | ATB Financial | phishing | T5_8.png | T5_8_aug1.png | blur kernel=3
